file,language,index,label,syllable_index,word_index,start,end,mid,duration_s,mean_f0_hz,mean_intensity_db,voiced_frames,f1_hz,f2_hz,f3_hz
er_will_die_rosen_haben.wav,de,1,ɛ,1,1,0.132,0.1725,0.15225,0.04049999999999998,107.27268691669254,73.83567257280862,10,390.277377640432,1546.5876993115814,2476.141545359173
er_will_die_rosen_haben.wav,de,2,ɾ,1,1,0.1725,0.213,0.19274999999999998,0.04050000000000001,104.42939707297212,70.57280079654595,10,234.2786477321573,1409.5007612268744,2405.9970258320504
er_will_die_rosen_haben.wav,de,3,v,2,2,0.233,0.28,0.2565,0.047000000000000014,107.53313262355341,75.20643334525612,10,279.8968045967217,1858.2748259294913,2624.9555005135885
er_will_die_rosen_haben.wav,de,4,ɪ,2,2,0.28,0.327,0.3035,0.046999999999999986,101.6445443148201,70.71850061502312,10,202.16396496747575,1775.074153155134,3308.2492304472958
er_will_die_rosen_haben.wav,de,5,l,2,2,0.327,0.374,0.35050000000000003,0.046999999999999986,103.99235098159923,72.88368034519698,10,252.11220770941512,2361.310236373821,2830.637700105242
er_will_die_rosen_haben.wav,de,6,d,3,3,0.395,0.4455,0.42025,0.05049999999999999,101.93770497151331,63.409584942846095,9,161.61754980176588,734.5780369786677,3128.960063442778
er_will_die_rosen_haben.wav,de,7,iː,3,3,0.4455,0.496,0.47075,0.05049999999999999,111.72426431779795,63.49238785261796,10,284.53596002102825,779.8817469202233,3051.447684031828
er_will_die_rosen_haben.wav,de,8,r,4,4,0.536,0.5926,0.5643,0.056599999999999984,120.38124814078773,73.93370283753869,10,331.0211539644991,790.1942948192586,2782.48850900496
er_will_die_rosen_haben.wav,de,9,oː,4,4,0.5926,0.6492,0.6209,0.056599999999999984,130.10673599815482,67.86655106897167,9,167.13777173117205,1632.464388543595,3120.6811409879233
er_will_die_rosen_haben.wav,de,10,z,5,4,0.6492,0.7058,0.6775,0.056599999999999984,156.61820032431626,72.90166317491993,8,363.1482222454195,1608.7665438808006,2524.202224287495
er_will_die_rosen_haben.wav,de,11,ə,5,4,0.7058,0.7624,0.7341,0.056599999999999984,140.18956473592866,75.45831193122496,10,291.86582257966865,1595.7836164921123,2529.7548693614017
er_will_die_rosen_haben.wav,de,12,n,5,4,0.7624,0.819,0.7907,0.056599999999999984,116.6622389846253,70.7451262402838,10,248.2620955453113,1435.4774103270972,2088.0532847930476
er_will_die_rosen_haben.wav,de,13,h,6,5,0.859,0.8994,0.8792,0.04039999999999999,95.57799969900756,74.21453813881381,10,669.1050931120556,1261.5333054490138,2245.308956715494
er_will_die_rosen_haben.wav,de,14,ɑː,6,5,0.8994,0.9398,0.9196,0.04039999999999999,94.11213521865146,74.3230790761614,10,637.2600090056626,1241.9970305603113,2189.3397749415367
er_will_die_rosen_haben.wav,de,15,b,7,5,0.9398,0.9802,0.96,0.04039999999999999,95.08197504744733,65.85816280868559,6,320.7528391782423,1094.1843548711292,2075.7728463602116
er_will_die_rosen_haben.wav,de,16,ə,7,5,0.9802,1.0206,1.0004,0.04039999999999999,107.54755230814442,64.4524223048128,10,408.2356481062959,1659.2511576413206,2956.6442133372343
er_will_die_rosen_haben.wav,de,17,n,7,5,1.0206,1.061,1.0408,0.04039999999999999,93.13373808601531,69.3248943271532,10,218.819606526509,1292.5941663153603,2367.149819990115
