file,language,index,label,word_index,start,end,mid,duration_s,mean_f0_hz,min_f0_hz,max_f0_hz,onset_f0_hz,offset_f0_hz,pitch_movement_st,pitch_movement,symbol,symbol_marked,mean_intensity_db,relative_height_st,prominence_score,stress_class,is_prominent,voiced_frames,f1_hz,f2_hz,f3_hz,phones
er_will_die_rosen_haben.wav,de,1,er,1,0.132,0.213,0.1725,0.08099999999999999,106.16076509752486,103.10815535279596,110.66747370422348,110.66747370422348,107.6447042171151,-0.4794469981458571,level,–,–,72.34744094264728,-0.6278254598084199,6.001170095660169,SS2,False,10,240.76003133698433,1398.2638600692512,2374.964954614637,ɛ ɾ
er_will_die_rosen_haben.wav,de,2,will,2,0.233,0.374,0.3035,0.141,104.62822806810507,98.47686436833361,109.44795501700833,109.44795501700833,104.31639653737275,-0.831348708248498,level,–,–,73.05712244552362,-0.879567924853282,6.633201530922725,SS2,False,10,202.16396496747575,1775.074153155134,3308.2492304472958,v ɪ l
er_will_die_rosen_haben.wav,de,3,die,3,0.395,0.496,0.4455,0.10099999999999998,106.0654143589333,90.17790972094373,126.34451579601586,101.79474755273527,104.57876913372961,0.46712247205689816,level,–,–,64.32032387424586,-0.6433819247821061,5.683317351808839,SS2,False,10,270.6567997979342,1882.2693091047843,3007.236958253347,d iː
er_will_die_rosen_haben.wav,de,4,ro,4,0.536,0.6492,0.5926,0.11319999999999997,124.00757918138275,109.8085952875534,138.6302145765547,109.8085952875534,138.6302145765547,4.035008908984937,rising,//,//,70.58195240245672,2.0623060476987964,10.920593052782003,SS2,False,9,315.5046224407905,1206.1972812765505,2825.6614236399355,r oː
er_will_die_rosen_haben.wav,de,5,sen,4,0.6492,0.819,0.7341,0.16979999999999995,135.3153365336983,112.67244902450523,158.02100406580038,158.02100406580038,112.67244902450523,-5.855778557905108,falling,\\,*\\,72.48389269050955,3.5730708103790443,14.328205075904533,SS3,True,9,291.86582257966865,1595.7836164921123,2529.7548693614017,z ə n
er_will_die_rosen_haben.wav,de,6,ha,5,0.859,0.9398,0.8994,0.08079999999999998,94.87555310258122,93.08076446106115,96.99123687675468,96.99123687675468,93.08076446106115,-0.7124561608771813,level,–,–,74.17675863660111,-2.573533984704656,8.253060491045883,SS2,False,10,655.1019826371929,1254.5361222904905,2230.4009205587226,h ɑː
er_will_die_rosen_haben.wav,de,7,ben,5,0.9398,1.061,1.0004,0.12119999999999997,99.51624979918304,89.56191019960937,119.22832346574353,93.08076446106115,95.04286554209317,0.36114329488189434,level,–,–,66.95348722211972,-1.7467852439095573,6.78606802767624,SS2,False,9,408.2356481062959,1659.2511576413206,2956.6442133372343,b ə n
