file,language,index,label,syllable_index,word_index,start,end,mid,duration_s,mean_f0_hz,mean_intensity_db,voiced_frames,f1_hz,f2_hz,f3_hz
ich_wohne_in_bern.wav,de,1,ɪ,1,1,0.198,0.25,0.224,0.05199999999999999,114.05552266648586,54.28533490065337,3,986.531212115283,2341.587783431517,3538.2445143011073
ich_wohne_in_bern.wav,de,2,ç,1,1,0.25,0.302,0.276,0.05199999999999999,105.13209734019154,70.96810550788626,10,214.83246868790047,1019.1345861296279,2655.1351606178487
ich_wohne_in_bern.wav,de,3,v,2,2,0.344,0.40125,0.372625,0.05725000000000002,126.61033029493596,77.57695346369995,10,518.6925351911361,2166.89143141866,2763.4138646981382
ich_wohne_in_bern.wav,de,4,oː,2,2,0.40125,0.45849999999999996,0.429875,0.05724999999999997,160.00572882867795,77.23042961602629,10,369.9920285702659,1650.6261818217338,2526.341313303568
ich_wohne_in_bern.wav,de,5,n,3,2,0.45849999999999996,0.5157499999999999,0.4871249999999999,0.05724999999999997,156.5305024625716,72.62101449626483,10,460.9291613681459,1660.060428393666,2761.710165462872
ich_wohne_in_bern.wav,de,6,ə,3,2,0.5157499999999999,0.573,0.5443749999999999,0.05725000000000002,112.73875491397014,74.06985954235847,10,340.07466964537616,1656.0548310377017,2841.5086737223432
ich_wohne_in_bern.wav,de,7,ɪ,4,3,0.594,0.6565,0.62525,0.0625,98.26376680413348,71.91545250589466,10,218.90967309100958,1266.531330700104,2416.1849889927857
ich_wohne_in_bern.wav,de,8,n,4,3,0.6565,0.719,0.68775,0.0625,97.22892474575322,69.2360169654971,9,405.5104816453776,1512.689580248411,2581.877423239294
ich_wohne_in_bern.wav,de,9,b,5,4,0.761,0.813,0.7869999999999999,0.051999999999999935,89.15970375552254,69.46769772661278,10,607.1300360555728,1443.0435314817792,2360.389562275716
ich_wohne_in_bern.wav,de,10,ɛ,5,4,0.813,0.865,0.839,0.052000000000000046,93.48134804136984,69.02034567550507,10,485.1099780684395,1153.596547103207,2206.0133929779972
ich_wohne_in_bern.wav,de,11,ɾ,5,4,0.865,0.917,0.891,0.052000000000000046,97.45636974285529,69.28078977793314,10,220.38637718964495,1347.276218004107,2418.6358142625354
ich_wohne_in_bern.wav,de,12,n,5,4,0.917,0.969,0.9430000000000001,0.051999999999999935,100.80375941847188,66.11040745723646,10,148.20656961280008,1609.3044197482768,2722.793931241367
