file,language,index,label,syllable_index,word_index,start,end,mid,duration_s,mean_f0_hz,mean_intensity_db,voiced_frames,f1_hz,f2_hz,f3_hz
er_will_die_rosen_haben.wav,de,1,ɛ,1,1,0.135,0.1765,0.15575,0.04149999999999998,106.69437527197321,73.46277888247847,10,363.6917053610236,1511.0051480647237,2450.0405397558857
er_will_die_rosen_haben.wav,de,2,ɾ,1,1,0.1765,0.218,0.19724999999999998,0.04150000000000001,104.96922615668375,70.83386986914493,10,236.82650017667098,1428.426054856151,2457.243807538512
er_will_die_rosen_haben.wav,de,3,v,2,2,0.239,0.28733333333333333,0.26316666666666666,0.04833333333333334,106.27719235821003,74.57630581788783,10,272.1054247957888,1893.6709882626092,2684.8828180413
er_will_die_rosen_haben.wav,de,4,ɪ,2,2,0.28733333333333333,0.33566666666666667,0.3115,0.04833333333333334,102.07093711968,70.82917801200706,10,207.01992828801463,1738.1365486113198,3062.2036555549585
er_will_die_rosen_haben.wav,de,5,l,2,2,0.33566666666666667,0.384,0.35983333333333334,0.04833333333333334,103.77619669192495,72.93542487116763,10,258.5319936600202,2340.762965299516,2544.0605947144104
er_will_die_rosen_haben.wav,de,6,d,3,3,0.405,0.4565,0.43075,0.05149999999999999,107.41176533513185,60.798136247483434,9,648.8566451114438,2769.7192865040465,3408.949439083298
er_will_die_rosen_haben.wav,de,7,iː,3,3,0.4565,0.508,0.48225,0.05149999999999999,107.90816331485053,66.41202077307986,10,271.0941871740311,440.33737136002696,2970.4248960107793
er_will_die_rosen_haben.wav,de,8,r,4,4,0.55,0.6080000000000001,0.5790000000000001,0.05800000000000005,123.53691884255461,73.94100034800546,10,350.3204793396985,1085.7971884297717,2763.1840977063807
er_will_die_rosen_haben.wav,de,9,oː,4,4,0.6080000000000001,0.666,0.637,0.05799999999999994,137.88212077996295,66.97978136662996,9,1145.4518874963123,2609.958318034497,3579.367020611711
er_will_die_rosen_haben.wav,de,10,z,5,4,0.666,0.724,0.6950000000000001,0.05799999999999994,154.13579540929126,75.26514916545477,10,385.79508073798365,1568.766774278787,2486.573050554182
er_will_die_rosen_haben.wav,de,11,ə,5,4,0.724,0.782,0.753,0.05800000000000005,130.8587737826141,74.1589281663939,10,280.35526293536174,1393.8321917393232,1914.2306014042165
er_will_die_rosen_haben.wav,de,12,n,5,4,0.782,0.84,0.8109999999999999,0.05799999999999994,111.7137324355634,70.06048771489097,10,275.9477177625116,1425.684222894609,1746.3603293783808
er_will_die_rosen_haben.wav,de,13,h,6,5,0.882,0.9234,0.9027000000000001,0.04139999999999999,94.77035473527988,74.64283947055279,10,657.172301029884,1256.5646182952373,2228.340275375933
er_will_die_rosen_haben.wav,de,14,ɑː,6,5,0.9234,0.9648,0.9440999999999999,0.04139999999999999,92.7886189351636,70.20232329073676,8,574.2496181473894,1152.9907513212333,2145.256659695426
er_will_die_rosen_haben.wav,de,15,b,7,5,0.9648,1.0062,0.9855,0.04139999999999999,115.36661718818074,62.423488339989774,6,317.6444450070728,1381.8395138348653,2779.059711499357
er_will_die_rosen_haben.wav,de,16,ə,7,5,1.0062,1.0476,1.0269,0.0414000000000001,94.57183517646587,68.95117562633624,10,215.6580776187193,1314.3846505282902,2268.040550543207
er_will_die_rosen_haben.wav,de,17,n,7,5,1.0476,1.089,1.0683,0.04139999999999988,96.93631518636258,68.81123313628315,10,208.84009465628208,1382.5414640846896,2444.99577413584
