file,language,index,label,word_index,start,end,mid,duration_s,mean_f0_hz,min_f0_hz,max_f0_hz,onset_f0_hz,offset_f0_hz,pitch_movement_st,pitch_movement,symbol,symbol_marked,mean_intensity_db,relative_height_st,prominence_score,stress_class,is_prominent,voiced_frames,f1_hz,f2_hz,f3_hz,phones
er_will_die_rosen_haben.wav,de,1,er,1,0.135,0.218,0.1765,0.08299999999999999,106.172907521334,103.19283595693508,110.38234595534206,110.38234595534206,108.48199933530293,-0.30064535634429557,level,–,–,72.34844052897265,-0.6777444686908698,5.872327446194071,SS2,False,10,230.48697978699946,1391.1528014597154,2372.7357446255587,ɛ ɾ
er_will_die_rosen_haben.wav,de,2,will,2,0.239,0.384,0.3115,0.14500000000000002,104.24160238738914,98.36847217288542,109.2929238391238,109.2929238391238,103.6623536188482,-0.9156953010691333,level,–,–,72.95081012886757,-0.9955585877635686,6.829286293987405,SS2,False,10,207.01992828801463,1738.1365486113198,3062.2036555549585,v ɪ l
er_will_die_rosen_haben.wav,de,3,die,3,0.405,0.508,0.4565,0.10299999999999998,106.47950485778438,90.17790972094373,126.08149199040926,99.79347657152039,104.95238503128228,0.8726104353207317,level,–,–,64.2121032692637,-0.6278233688013941,6.068917934892674,SS2,False,10,422.0531206917818,2301.56911906602,3114.609905171508,d iː
er_will_die_rosen_haben.wav,de,4,ro,4,0.55,0.666,0.6080000000000001,0.11599999999999999,129.84819694858388,115.39086693067124,157.53587607205162,115.39086693067124,157.53587607205162,5.389816490623721,rising,//,//,70.57466203946171,2.8071791925382925,13.019982164740483,SS2,False,9,219.5072421370628,1287.5918672065013,3008.8303270934166,r oː
er_will_die_rosen_haben.wav,de,5,sen,4,0.666,0.84,0.753,0.17399999999999993,132.058519866305,103.1301508272956,158.04106383588186,157.53587607205162,103.1301508272956,-7.334570861187878,falling,\\,*\\,73.0105115915963,3.0993959933565858,15.354387318208316,SS3,True,10,280.35526293536174,1393.8321917393232,1914.2306014042165,z ə n
er_will_die_rosen_haben.wav,de,6,ha,5,0.882,0.9648,0.9234,0.08279999999999998,93.83468742873691,90.91367235743488,95.27619283440166,95.27619283440166,90.91367235743488,-0.8114218808372957,level,–,–,72.11668829050745,-2.8164136918019347,8.51250310425953,SS2,False,9,632.5035827947922,1235.1977992841707,2188.9243931602673,h ɑː
er_will_die_rosen_haben.wav,de,7,ben,5,0.9648,1.089,1.0269,0.12419999999999998,100.24718997232954,89.38044474441844,118.1102421387035,118.1102421387035,100.36563720864856,-2.8184239971587246,falling,\,\,66.55597495835251,-1.671991015945399,9.152654011438223,SS2,False,8,215.6580776187193,1314.3846505282902,2268.040550543207,b ə n
