file,language,index,word,start,end,duration_s
einige_melonen.wav,de,1,einigen,0.295,0.539,0.24400000000000005
einige_melonen.wav,de,2,mal,0.58,0.681,0.10100000000000009
einige_melonen.wav,de,3,lohnt,0.701,0.925,0.2240000000000001
