file,language,index,label,word_index,start,end,mid,duration_s,mean_f0_hz,min_f0_hz,max_f0_hz,onset_f0_hz,offset_f0_hz,pitch_movement_st,pitch_movement,symbol,symbol_marked,mean_intensity_db,relative_height_st,prominence_score,stress_class,is_prominent,voiced_frames,f1_hz,f2_hz,f3_hz,phones
doreco_port1286_2017_06_30_Jaklin.wav,it,1,so,1,0.031,2.0913333333333335,1.0611666666666668,2.0603333333333333,493.14540040966455,493.14540040966455,493.14540040966455,493.14540040966455,493.14540040966455,0.0,level,–,–,59.579810214383585,16.098143526489658,20.481335935065,SS2,False,1,818.3178773692787,2080.852368369463,3103.5751426425763,s o
doreco_port1286_2017_06_30_Jaklin.wav,it,2,kːi,1,2.0913333333333335,4.151666666666667,3.1215,2.060333333333334,,,,,,,unknown,?,?,57.02946674608769,,4.2811786698435075,SS1,False,0,674.5026175010142,1826.459557881724,2557.655337038197,kː i
doreco_port1286_2017_06_30_Jaklin.wav,it,3,nɪ,1,4.151666666666667,6.212,5.1818333333333335,2.0603333333333325,196.37670462744708,174.75774008453863,242.27212271595684,174.75774008453863,176.07083503518822,0.12959521913821007,level,–,–,65.01972770247502,0.15747217913547704,4.887856506372688,SS2,False,5,591.4113775541074,1380.2258664750784,2825.6496810995914,n ɪ
doreco_port1286_2017_06_30_Jaklin.wav,it,4,a,2,6.652,6.732,6.692,0.08000000000000007,,,,,,,unknown,?,?,59.48574809450527,,4.379429923780211,SS1,False,0,725.5066781753536,1872.259418518625,3079.0527740102784,aː
doreco_port1286_2017_06_30_Jaklin.wav,it,5,te,3,6.952,7.052,7.002,0.09999999999999964,,,,,,,unknown,?,?,62.25973391813998,,4.490389356725599,SS1,False,0,478.9158031637892,1641.3521151296015,2889.8550952783507,t e
doreco_port1286_2017_06_30_Jaklin.wav,it,6,con,4,7.172,7.372,7.272,0.20000000000000018,182.59387238034068,178.15918579636596,193.4236658513772,193.4236658513772,179.11875742783542,-1.330174772028446,falling,\,\,68.39167655071263,-1.102353192371248,7.168195026428199,SS2,False,9,535.8431267180421,1134.757224047379,2941.4864215681714,k o n
doreco_port1286_2017_06_30_Jaklin.wav,it,7,na,5,7.472,7.720000000000001,7.596,0.24800000000000022,169.42952609270185,168.46979005078646,170.1499862603902,170.01473266105398,169.32715835020795,-0.07015660127591415,level,–,–,64.86209973569278,-2.3977896651141606,7.0624302558177865,SS2,False,9,678.1106957760975,1680.2997175528853,2873.6882886483895,n a
doreco_port1286_2017_06_30_Jaklin.wav,it,8,pi,5,7.720000000000001,7.968000000000001,7.844000000000001,0.24800000000000022,166.7706519645808,159.78916142924092,173.3912557703504,173.3912557703504,159.78916142924092,-1.414339097388835,falling,\,\,63.49959265856579,-2.671628270567127,8.625951074298595,SS2,False,6,391.34989084211435,1990.9466933808299,3315.0461258808477,p i
doreco_port1286_2017_06_30_Jaklin.wav,it,9,a,5,7.968000000000001,8.092,8.030000000000001,0.12399999999999967,158.01359438135415,153.53448421196782,162.5100815339816,159.78916142924092,153.53448421196782,-0.691281938248245,level,–,–,62.90314906250749,-3.605429208461964,8.81283710921051,SS2,False,8,910.9281911487036,2084.447887619365,3063.8569198545274,a
doreco_port1286_2017_06_30_Jaklin.wav,it,10,non,6,9.333,9.513,9.423,0.17999999999999972,178.08017280849003,173.98877686088485,180.97686128046976,180.2410666951067,174.34321721023716,-0.5759702325436693,level,–,–,69.43218586007556,-1.5356906323475612,6.888948299294253,SS2,False,10,892.2136728002172,1649.551529634235,2157.724076418419,n o n
doreco_port1286_2017_06_30_Jaklin.wav,it,11,lom,7,9.533,9.918714285714286,9.725857142857143,0.3857142857142861,179.62069196759836,172.39591057540002,185.90411996040902,174.218147841164,182.79507784741148,0.8319877171942245,level,–,–,69.92251273745413,-1.3865707406526038,7.015458967344994,SS2,False,10,535.7543085342068,1188.2197256428522,2873.2707081591893,l o m
doreco_port1286_2017_06_30_Jaklin.wav,it,12,bi,7,9.918714285714286,10.175857142857144,10.047285714285714,0.257142857142858,182.67541155744635,179.30104968394622,187.17108289456854,182.79507784741148,179.30104968394622,-0.334119468257204,level,–,–,67.75186001801512,-1.0946239138202987,6.138817782798108,SS2,False,10,504.3312078423247,2322.8350414843044,3154.6675327987155,b i
doreco_port1286_2017_06_30_Jaklin.wav,it,13,nɪ,7,10.175857142857144,10.433,10.304428571428572,0.25714285714285623,176.51556397388921,175.19636329713384,179.30104968394622,179.30104968394622,175.19636329713384,-0.40093327485018315,level,–,–,67.52198181051577,-1.688468648876397,6.790281196147211,SS2,False,9,524.1996516509461,1972.373758495197,2878.4056476662527,n ɪ
doreco_port1286_2017_06_30_Jaklin.wav,it,14,non,8,10.593,10.773,10.683,0.17999999999999972,146.03170209171682,87.61764936997295,173.8252261088243,87.61764936997295,170.98065653223497,11.574476440540062,rising,//,//,64.69504301560785,-4.970634224200933,21.13291238536531,SS2,False,10,611.6283743440717,1580.6449977771802,2853.3987700895054,n o n
doreco_port1286_2017_06_30_Jaklin.wav,it,15,pu,9,10.873,11.133,11.003,0.2599999999999998,183.89982059180466,177.36370126823908,191.64716422806802,191.64716422806802,177.36370126823908,-1.3409024260129399,falling,\,\,69.15797214955153,-0.9789725382036628,7.086193850198663,SS2,False,8,304.90921490691363,1221.1520968447828,2417.818533025546,p u
