file,language,index,label,syllable_index,word_index,start,end,mid,duration_s,mean_f0_hz,mean_intensity_db,voiced_frames,f1_hz,f2_hz,f3_hz
eine_gelbe_banane.wav,de,1,aɪ,1,1,0.234,0.28800000000000003,0.261,0.05400000000000002,204.06016637680472,73.163764761675,10,626.7674686449667,2074.871287349689,2798.3542950193155
eine_gelbe_banane.wav,de,2,n,2,1,0.28800000000000003,0.342,0.31500000000000006,0.05399999999999999,188.68618111840541,66.23350725045007,10,205.89788164524876,1169.0177595735463,2467.5220202806263
eine_gelbe_banane.wav,de,3,ə,2,1,0.342,0.396,0.369,0.05399999999999999,203.79318711705528,66.6178191710695,10,570.8355095417178,2156.7708171730233,2675.1043867075678
eine_gelbe_banane.wav,de,4,ɡ,3,2,0.437,0.48979999999999996,0.4634,0.05279999999999996,191.7943744434399,72.89224747513799,10,463.483107907477,1732.3479675351234,2687.56199975611
eine_gelbe_banane.wav,de,5,ɛ,3,2,0.48979999999999996,0.5426,0.5162,0.052800000000000014,187.79460711222993,68.11852442589858,10,220.08208193754123,1443.0659336441634,1994.693535144413
eine_gelbe_banane.wav,de,6,l,3,2,0.5426,0.5953999999999999,0.569,0.05279999999999996,194.14739188876723,71.55973907845764,10,391.5142571008291,1476.7998248437077,2551.8567576649302
eine_gelbe_banane.wav,de,7,b,4,2,0.5953999999999999,0.6481999999999999,0.6217999999999999,0.05279999999999996,181.7669254232896,65.6502225401981,10,192.9520174777458,1207.5557881656975,2450.5632164807876
eine_gelbe_banane.wav,de,8,ə,4,2,0.6481999999999999,0.701,0.6745999999999999,0.05280000000000007,197.58235171277687,68.07491506378548,10,511.95273435369285,1152.0755345654732,2694.404236337524
eine_gelbe_banane.wav,de,9,b,5,3,0.721,0.7886666666666666,0.7548333333333332,0.06766666666666665,193.32246112831317,70.58026527721714,10,878.6394470103128,1714.2865102470093,2994.808996232723
eine_gelbe_banane.wav,de,10,a,5,3,0.7886666666666666,0.8563333333333333,0.8225,0.06766666666666665,196.1202064433741,72.54450720566179,10,220.9522345702391,1592.3115354072881,2258.845914084394
eine_gelbe_banane.wav,de,11,n,6,3,0.8563333333333333,0.9239999999999999,0.8901666666666666,0.06766666666666665,221.18323138465925,73.99805249333339,10,959.2001271996667,1593.5350169092924,3170.760293522308
eine_gelbe_banane.wav,de,12,ɑː,6,3,0.9239999999999999,0.9916666666666666,0.9578333333333333,0.06766666666666665,255.85217769029867,76.09299685605347,10,950.5238983683763,1561.7034179344923,3354.148077519854
eine_gelbe_banane.wav,de,13,n,7,3,0.9916666666666666,1.0593333333333332,1.0254999999999999,0.06766666666666665,245.05123127945703,75.75960875495069,10,254.58365182849414,1388.9494758393812,2188.8079487427153
eine_gelbe_banane.wav,de,14,ə,7,3,1.0593333333333332,1.127,1.0931666666666666,0.06766666666666676,196.06162032244742,71.15107487367324,10,951.8150221318481,1684.1278407452273,2995.193484662679
