file,language,index,label,syllable_index,word_index,start,end,mid,duration_s,mean_f0_hz,mean_intensity_db,voiced_frames,f1_hz,f2_hz,f3_hz
eine_gelbe_banane.wav,de,1,aɪ,1,1,0.253,0.3,0.27649999999999997,0.046999999999999986,201.678597376046,72.73316891410182,10,589.7194343538982,2241.7932338204637,2694.62998277697
eine_gelbe_banane.wav,de,2,n,2,1,0.3,0.347,0.3235,0.046999999999999986,186.2006199177031,64.05161810980366,10,204.93663645623744,1800.6977217151862,2566.968523269345
eine_gelbe_banane.wav,de,3,ə,2,1,0.347,0.394,0.3705,0.04700000000000004,206.09819298138655,67.24070787164058,10,332.3792158890898,2040.4698496880144,2687.711422303731
eine_gelbe_banane.wav,de,4,ɡ,3,2,0.434,0.4864,0.4602,0.0524,191.85743726902382,72.9678179921142,10,266.59160026452713,1019.1504439582918,2235.7231786906063
eine_gelbe_banane.wav,de,5,ɛ,3,2,0.4864,0.5388,0.5126,0.05239999999999995,187.569282314329,68.27370390184342,10,220.19040077223698,1491.7273247259766,1889.9976262063803
eine_gelbe_banane.wav,de,6,ɾ,3,2,0.5388,0.5912,0.565,0.0524,194.52251855882054,71.43301428857355,10,388.9601846839708,1487.6548552284444,2542.318514728448
eine_gelbe_banane.wav,de,7,b,4,2,0.5912,0.6436,0.6174,0.0524,182.01420278708832,66.28092849366749,10,194.73681081837617,1222.343111931492,2445.793446674527
eine_gelbe_banane.wav,de,8,ə,4,2,0.6436,0.696,0.6698,0.0524,197.1491679328237,67.41375157748618,10,310.09651470115267,910.5895390285212,2476.798790240717
eine_gelbe_banane.wav,de,9,b,5,3,0.716,0.7831666666666666,0.7495833333333333,0.0671666666666666,193.40100051132055,70.49087713417725,10,920.7402135526855,1715.862786654948,3163.176105851137
eine_gelbe_banane.wav,de,10,ɑ,5,3,0.7831666666666666,0.8503333333333333,0.8167499999999999,0.06716666666666671,195.0550828772596,72.43625205339356,10,215.73888976112605,1660.8428298008528,2572.8548120028436
eine_gelbe_banane.wav,de,11,n,6,3,0.8503333333333333,0.9175,0.8839166666666667,0.06716666666666671,217.92873138099782,73.76823614868856,10,1014.6762543526797,1640.1600965407963,3185.6860177584426
eine_gelbe_banane.wav,de,12,a,6,3,0.9175,0.9846666666666666,0.9510833333333333,0.0671666666666666,253.53673274546472,76.0766557314484,10,978.6015119797373,1586.3065060523227,3320.0080018256012
eine_gelbe_banane.wav,de,13,n,7,3,0.9846666666666666,1.0518333333333332,1.0182499999999999,0.0671666666666666,249.2872074650344,75.93907281081091,10,255.50115686701724,1403.8484876396308,2281.7193437727865
eine_gelbe_banane.wav,de,14,ɑː,7,3,1.0518333333333332,1.119,1.0854166666666667,0.06716666666666682,200.97118851256488,71.94602380084707,10,847.1218782749883,1680.795737755038,2983.881574384778
