file,language,index,label,syllable_index,word_index,start,end,mid,duration_s,mean_f0_hz,mean_intensity_db,voiced_frames,f1_hz,f2_hz,f3_hz
ich_wohne_in_bern.wav,de,1,ɪ,1,1,0.196,0.247,0.2215,0.05099999999999999,114.88259781011868,53.55321877103162,2,1049.6517655614948,2331.9549634606187,3503.827416460189
ich_wohne_in_bern.wav,de,2,ç,1,1,0.247,0.298,0.27249999999999996,0.05099999999999999,105.59029689092203,70.44611034576842,10,488.4800135801201,2010.4076406393058,3310.4118016285183
ich_wohne_in_bern.wav,de,3,v,2,2,0.339,0.39575000000000005,0.367375,0.05675000000000002,123.76996009109936,77.263424459612,10,366.29150292659057,1300.0760702167634,2597.6439600087288
ich_wohne_in_bern.wav,de,4,oː,2,2,0.39575000000000005,0.4525,0.42412500000000003,0.05674999999999997,157.6356363819097,77.56629268574771,10,354.2646606333403,1625.0339419127552,2535.5000397390977
ich_wohne_in_bern.wav,de,5,n,3,2,0.4525,0.50925,0.480875,0.05674999999999997,160.86681500714332,72.99009608284648,10,457.7153079703283,1656.713026763502,2800.113338974216
ich_wohne_in_bern.wav,de,6,ə,3,2,0.50925,0.566,0.537625,0.05674999999999997,115.73170517342896,73.62233214122165,10,380.05630905724365,1666.7793475985457,2870.2264310185888
ich_wohne_in_bern.wav,de,7,ɪ,4,3,0.586,0.6479999999999999,0.617,0.061999999999999944,99.36356557204358,73.14644638719781,10,229.8454183897132,1443.831896864633,2424.7516489526183
ich_wohne_in_bern.wav,de,8,n,4,3,0.6479999999999999,0.71,0.6789999999999999,0.062000000000000055,97.39235267831742,68.59523802393485,9,285.4192813802895,1477.9716170376723,2653.4339110507417
ich_wohne_in_bern.wav,de,9,b,5,4,0.751,0.80225,0.776625,0.05125000000000002,89.024721042984,69.69227177580485,10,622.2255207769235,1520.5326193150634,2494.018894742432
ich_wohne_in_bern.wav,de,10,ɛ,5,4,0.80225,0.8534999999999999,0.8278749999999999,0.05124999999999991,92.47275860856222,69.05909082846294,10,542.0874222084669,1262.3729372875978,2132.312939178742
ich_wohne_in_bern.wav,de,11,ɾ,5,4,0.8534999999999999,0.9047499999999999,0.8791249999999999,0.05125000000000002,96.78772867119828,69.2976239332605,10,234.09915068731368,1358.194601907214,2432.9570687980968
ich_wohne_in_bern.wav,de,12,n,5,4,0.9047499999999999,0.956,0.930375,0.05125000000000002,99.17199073468662,67.16123052573747,10,179.96741436032198,1763.8217197766141,2787.5757683698034
