file,language,index,word,start,end,duration_s
er_sang_die_lieder.wav,de,1,er,0.155,0.238,0.08299999999999999
er_sang_die_lieder.wav,de,2,sang,0.28,0.446,0.16599999999999998
er_sang_die_lieder.wav,de,3,die,0.467,0.571,0.10399999999999993
er_sang_die_lieder.wav,de,4,lieder,0.612,0.861,0.249
