file,language,index,label,word_index,start,end,mid,duration_s,mean_f0_hz,min_f0_hz,max_f0_hz,onset_f0_hz,offset_f0_hz,pitch_movement_st,pitch_movement,symbol,symbol_marked,mean_intensity_db,relative_height_st,prominence_score,stress_class,is_prominent,voiced_frames,f1_hz,f2_hz,f3_hz,phones
er_sang_die_lieder.wav,de,1,er,1,0.155,0.238,0.1965,0.08299999999999999,103.67342941531385,96.79991414532239,111.67102065671978,103.27841563732709,108.56359901717622,0.8640201575861597,level,–,–,67.56054374465074,-2.356779853796431,7.92322176116862,SS2,False,10,151.87361302478976,1749.5359892371475,2869.228500601314,ɛ ɾ
er_sang_die_lieder.wav,de,2,sang,2,0.28,0.446,0.363,0.16599999999999998,130.13738151058192,104.56570657461404,165.18568973108165,104.56570657461404,165.18568973108165,7.916147128258412,rising,//,*//,74.82002479453493,1.5790910166045773,14.488039136644387,SS3,True,10,240.13770235784114,717.5716834312703,2307.694238343293,z a ŋ
er_sang_die_lieder.wav,de,3,die,3,0.467,0.571,0.519,0.10399999999999993,149.68421107623269,131.01674125189348,166.2390941658502,166.2390941658502,131.01674125189348,-4.1221023333756275,falling,\\,\\,71.05823519796144,4.0017304683482955,12.96616220964238,SS2,False,10,260.1051626040461,2153.826566099358,2786.1007384561785,d iː
er_sang_die_lieder.wav,de,4,lie,4,0.612,0.7364999999999999,0.67425,0.12449999999999994,113.19440477276366,101.4721405325942,124.51723980351785,124.51723980351785,101.4721405325942,-3.5431417929305504,falling,\,\,72.5454619880485,-0.8357023861245316,9.280662658577022,SS2,False,10,232.40668518952918,1468.2691992819553,2393.30164192781,l iː
er_sang_die_lieder.wav,de,5,der,4,0.7364999999999999,0.861,0.79875,0.12450000000000006,97.2733855603424,93.68016538918845,103.12615514190671,101.4721405325942,103.12615514190671,0.27991912471758523,level,–,–,70.13275311045967,-3.4599297176729165,8.545158966808888,SS2,False,10,474.2604460238033,1396.7640376847553,2229.9345250728365,d ɜ
