file,language,index,label,word_index,start,end,mid,duration_s,mean_f0_hz,min_f0_hz,max_f0_hz,onset_f0_hz,offset_f0_hz,pitch_movement_st,pitch_movement,symbol,symbol_marked,mean_intensity_db,relative_height_st,prominence_score,stress_class,is_prominent,voiced_frames,f1_hz,f2_hz,f3_hz,phones
doreco_port1286_2017_06_30_Jaklin.wav,es,1,so,1,0.051,1.7579999999999998,0.9044999999999999,1.7069999999999999,486.1669847476937,486.1669847476937,486.1669847476937,486.1669847476937,486.1669847476937,0.0,level,–,–,60.97656974636078,15.88433259304886,20.323395382903293,SS2,False,1,879.1378390679572,2109.048639814589,3379.662434047501,s o
doreco_port1286_2017_06_30_Jaklin.wav,es,2,θi,1,1.7579999999999998,3.465,2.6115,1.707,,,,,,,unknown,?,?,57.23237177394505,,4.289294870957802,SS2,False,0,658.0699096758123,2047.3030355635753,3074.2174360611407,θ i
doreco_port1286_2017_06_30_Jaklin.wav,es,3,ne,1,3.465,5.172,4.3185,1.7069999999999999,184.22802094479036,180.2388047061697,188.21723718341102,188.21723718341102,180.2388047061697,-0.7498692824665097,level,–,–,59.7267250696648,-0.9151803670839227,6.054118652337024,SS2,False,2,888.0614193781296,2406.8581671124925,3389.9988244664496,n e
doreco_port1286_2017_06_30_Jaklin.wav,es,4,a,2,5.372,5.432,5.402,0.0600000000000005,235.7451264645214,232.08880356343448,240.13980381530644,232.08880356343448,240.13980381530644,0.5903715376754539,level,–,–,75.12665979282569,3.353644859611408,8.949082788999888,SS2,False,10,488.0696550715878,1976.5403782346752,2829.8016899637955,a
doreco_port1286_2017_06_30_Jaklin.wav,es,5,tu,3,5.812,6.152,5.982,0.33999999999999986,184.56449794245157,172.75002730663823,200.05758709370863,200.05758709370863,172.75002730663823,-2.540752855424385,falling,\\,\\,71.0224401759241,-0.8835896722145189,8.265240134675867,SS2,False,9,548.5871007893616,1621.6237255086203,2796.8448553159283,t u
doreco_port1286_2017_06_30_Jaklin.wav,es,6,kon,4,7.192,7.537,7.3645,0.34499999999999975,178.16006185384626,168.2371709470111,194.58297257102498,194.58297257102498,168.2371709470111,-2.5186676889635358,falling,\\,\\,68.02307755795346,-1.4950029292222764,8.73459372050395,SS2,False,10,519.5825429188492,1585.3237435364472,2815.044901147302,k o n
doreco_port1286_2017_06_30_Jaklin.wav,es,7,nap,4,7.537,7.882,7.7095,0.34499999999999975,169.4796314624328,168.2371709470111,171.32453564210928,168.2371709470111,168.49235346398902,0.026239501716590244,level,–,–,63.44548335703594,-2.359747738894575,6.923806574892604,SS2,False,7,695.1225981354112,1677.8497263826632,3248.6888879659978,n a p
doreco_port1286_2017_06_30_Jaklin.wav,es,8,ja,4,7.882,8.112,7.997,0.23000000000000043,159.39497772166098,147.56895747007232,168.49235346398902,168.49235346398902,147.56895747007232,-2.2955262196923263,falling,\\,\\,64.85281191800749,-3.4218164219615526,10.311455118374178,SS2,False,9,736.6274984156681,2268.1547236968745,3077.07495554298,j a
doreco_port1286_2017_06_30_Jaklin.wav,es,9,no,5,9.333,9.613,9.472999999999999,0.27999999999999936,176.68713321267035,172.0504926218572,180.3169500101668,180.2410666951067,172.0504926218572,-0.8051488073449506,level,–,–,68.58682095876681,-1.6387267008235384,7.187348346519161,SS2,False,10,706.713326948982,1623.2280239229974,2419.091517165221,n o
doreco_port1286_2017_06_30_Jaklin.wav,es,10,no,6,9.693,9.913,9.803,0.22000000000000064,183.23605451380223,180.98149504785212,186.05118769294376,181.6341749852696,180.98149504785212,-0.06232179381163558,level,–,–,72.23519662142071,-1.008649652769382,5.960379311437846,SS2,False,10,496.0457479405802,1199.260130512351,2656.910231323433,n o
doreco_port1286_2017_06_30_Jaklin.wav,es,11,no,7,10.153,10.413,10.283000000000001,0.2599999999999998,177.01709307693974,175.67404469959638,180.951049818875,180.951049818875,175.67404469959638,-0.5123810933877145,level,–,–,67.93097372875218,-1.6064263846216804,6.8360464271594825,SS2,False,9,528.9242945989147,1975.482369752558,2821.405162523739,n o
doreco_port1286_2017_06_30_Jaklin.wav,es,12,no,8,10.613,10.793,10.703,0.17999999999999972,153.945110065866,88.65862605999993,173.8252261088243,88.65862605999993,166.7517291114646,10.936425731365375,rising,//,//,64.38006593100845,-4.024097992897335,19.53572636150305,SS2,False,10,676.4792215648473,1526.3210704139385,2780.0501720323914,n o
doreco_port1286_2017_06_30_Jaklin.wav,es,13,no,9,10.873,11.073,10.972999999999999,0.20000000000000107,185.30653700148451,182.44155637921216,188.9384565881896,188.9384565881896,182.44155637921216,-0.6057839450888418,level,–,–,69.16035746890567,-0.8141251893606133,6.186323433205683,SS2,False,7,508.99098021959844,1761.3561551955902,2982.0038765494105,n o
doreco_port1286_2017_06_30_Jaklin.wav,es,14,no,10,11.093,11.413,11.253,0.3200000000000003,161.2359096308218,86.14805846579925,179.47188232077482,179.47188232077482,86.14805846579925,-12.706411782222208,falling,\\,\\,67.4439576080272,-3.223013427537433,20.627183514080727,SS2,False,10,532.5664324182457,2578.998244039193,3377.0450871921953,n o
doreco_port1286_2017_06_30_Jaklin.wav,es,15,no,11,12.033,12.533,12.283,0.5,181.95213442253907,78.86439983370073,218.9057499618886,78.86439983370073,207.75144250661612,16.768948664638618,rising,//,//,65.20156359964176,-1.1303827977060803,22.50739400633037,SS2,False,7,514.2664374634008,2031.6060064380483,2870.6227419499833,n o
